customs_office_id,name,country,street_and_address,postcode,city,latitude,longitude
SE010332,TÄRNABY TULLVERKET,SE,BLÅ VÄGEN 32,S-925 31,TÄRNABY,65.7118628,15.2253123
SE010333,BJÖRNFJELL TOLLSTED,SE,"Postboks 213, N-8503 Narvik",N-8503,N8503 Narvik NO,68.4384984,17.4272612
SE010334,JUNKERDAL TOLLSTED,SE,Graddisveien 300,N-8255,RÖKLAND,66.7515054,15.8195949
SE020342,STORLIEN TULLVERKET,SE,GRÄNSVÄGEN 55,S-830 19,STORLIEN,63.3172406,12.0892707
SE020344,VAULDALEN TOLLSTED,SE,,N-7370,BREKKEBYGD,45.990892,1.0472334
SE020423,IDRE,SE,Foskrosvägen 1,S-797 71,IDRE,61.85797632061847,12.711270869508354
SE060335,HÅN TULLVERKET,SE,"HÅN, Tullstation 1",S-672 96,TÖCKSFORS,59.503211,11.786125
SE060340,SVINESUND TOLLSTED,SE,Sponvikaveien 7,N-1794,SPONVIKA,59.09261819999999,11.2298338
SE060341,ÖRJE TOLLSTED,SE,Svenskeveien 595,N-1870,ÖRJE,59.4784306,11.6747651
SE092714,Stockholm-Arlanda Tullverket,SE,Box 64 Tullhuset Arlanda,S-19045,Stockholm-Arlanda,59.6493928,17.9342942
SE303400,STOCKHOLM TULLVERKET,SE,"BOX 27311, FRIHAMNEN, MAGASIN 2",S-102 54,STOCKHOLM,59.3327036,18.0656255
SE603303,GÖTEBORG TULLVERKET,SE,"ARENDALS ALLÉ, HUS ARX",S-418 79,GÖTEBORG,57.6976378,11.80989
SE603340,Tullverket Svinesund,SE,Box 15,452 21,Strömstad,58.9377567,11.1736096
SE603342,STRÖMSTAD TULLVERKET,SE,TORSKHOLMEN,S-452 31,STRÖMSTAD,58.9347484,11.1705982
SE603360,EDA TULLVERKET,SE,KUNGSVÄGEN 39A,S-673 92,CHARLOTTENBERG,59.9270223,12.2522651
SE603362,ÖSTBY TOLLSTED,SE,TOLLVESENET,N-2423,ÖSTBY,61.2539236,12.5267561
SE603363,ÅSNES TOLLSTED,SE,INDUSTRIVEGEN 6,N-2270,FLISA,59.6258227,16.6180576
SE900001,SKATTEVERKET STORFÖRETAGSSKATTEKONT,SE,FREDSGATAN 20,77183,LUDVIKA,60.1503771,15.1813989
SEBGP203,Wallhamn,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEGBG200,Göteborg,SE,Box 12854,11298,Stockholm,59.3327036,18.0656255
SEGBP201,Halmstad,SE,Box 12854,11298,Stockholm,59.3251172,18.0710935
SEGBP202,Kristinehamn,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEGBP205,Vargön-Vänersborg,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEGBP206,Vänersborg,SE,Box12854,SE-11298,Stockholm,59.3251172,18.0710935
SEGBP207,Uddevalla,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEMAO300,Malmö,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEMAP301,Helsingborg,SE,Box12854,11298,Stockholm,59.3251172,18.0710935
SEMAP302,Trelleborg,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEMAP303,Ystad,SE,11298,11298,Stockholm,36.3843013,-94.0285935
SEMAP304,Simrishamn,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEMAP305,Åhus,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEMAP306,Karlshamn,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEMAP307,Karlskrona,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEMAP308,Kalmar,SE,Box 12854,11298,Stockholm,59.3251172,18.0710935
SEMAP309,Oskarshamn,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SEMAP310,Sölvesborg,SE,Box 12854,SE11298,Stockholm,59.3251172,18.0710935
SEMAP311,Västervik,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
SESGP204,Varberg,SE,Box12854,SE-11298,Stockholm,59.3251172,18.0710935
SESTH100,Stockholm,SE,Box 12854,SE-11298,Stockholm,59.3251172,18.0710935
